Name;Families;;
’Auhelawa;Austronesian;;
A-Pucikwar;Andamanese;;
A’ou;Kra-Dai;;
Aari;Afro-Asiatic;;
Aasáx;Afro-Asiatic;;
Abadi;Austronesian;;
Abai Sungai;Austronesian;;
Abanglekuo;Niger-Congo;;
Abanyom;Niger-Congo;;
Abau;Sepik;;
Abaza;Abkhaz-Adyghe;;
Abé;Niger-Congo;;
Abenaki, Eastern;Algic;;
Abenaki, Western;Algic;;
Abidji;Niger-Congo;;
Abinomn;Language isolate;;
Abipon;Guaykuruan;;
Abishi;Niger-Congo;;
Abkhaz;Abkhaz-Adyghe;;
Abom;Trans-New Guinea;;
Abon;Niger-Congo;;
Abron;Niger-Congo;;
Abu;Ramu-Lower Sepik;;
Abu’;Torricelli;;
Abua;Niger-Congo;;
Abui;Trans-New Guinea;;
Abun;Language isolate;;
Abure;Niger-Congo;;
Abureni;Niger-Congo;;
Aceh;Austronesian;;
Achagua;Maipurean;;
Achang;Sino-Tibetan;;
Ache;Sino-Tibetan;;
Aché;Tupian;;
Acheron;Niger-Congo;;
Achi;Mayan;;
Acholi;Nilo-Saharan;;
Achterhoeks;Indo-European;;
Achuar-Shiwiar;Jivaroan;;
Achumawi;Palaihnihan;;
Acipa, Eastern;Niger-Congo;;
Acroá;Jean;;
Adai;Unclassified;;
Adang;Trans-New Guinea;;
Adangbe;Niger-Congo;;
Adara;Niger-Congo;;
Adasen;Austronesian;;
Adele;Niger-Congo;;
Adi;Sino-Tibetan;;
Adi, Galo;Sino-Tibetan;;
Adioukrou;Niger-Congo;;
Adithinngithigh;Australian;;
Adnyamathanha;Australian;;
Adonara;Austronesian;;
Aduge;Niger-Congo;;
Adyghe;Abkhaz-Adyghe;;
Adzera;Austronesian;;
Aeka;Trans-New Guinea;;
Aekyom;Trans-New Guinea;;
Aer;Indo-European;;
Afade;Afro-Asiatic;;
Afar;Afro-Asiatic;;
Afitti;Nilo-Saharan;;
Afrikaans;Indo-European;;
Afro-Seminole Creole;Creole;;
Agarabi;Trans-New Guinea;;
Agariya;Austro-Asiatic;;
Agatu;Niger-Congo;;
Agavotaguerra;Unclassified;;
Aghem;Niger-Congo;;
Aghu;Trans-New Guinea;;
Aghu-Tharnggala;Australian;;
Aghul;Nakh-Daghestanian;;
Agi;Torricelli;;
Agob;South-Central Papuan;;
Agta, Casiguran Dumagat;Austronesian;;
Agta, Central Cagayan;Austronesian;;
Agta, Dicamay;Austronesian;;
Agta, Dupaninan;Austronesian;;
Agta, Katubung;Austronesian;;
Agta, Mt. Iraya;Austronesian;;
Agta, Mt. Iriga;Austronesian;;
Agta, Pahanan;Austronesian;;
Agta, Umiray Dumaget;Austronesian;;
Agta, Villa Viciosa;Austronesian;;
Aguano;Unclassified;;
Aguna;Niger-Congo;;
Agutaynen;Austronesian;;
Agwagwune;Niger-Congo;;
Ahan;Niger-Congo;;
Ahanta;Niger-Congo;;
Aheu;Austro-Asiatic;;
Ahirani;Indo-European;;
Ahom;Kra-Dai;;
Ahtena;Eyak-Athabaskan;;
Ahwai;Niger-Congo;;
Ai-Cham;Kra-Dai;;
Aighon;Austronesian;;
Aikanã;Language isolate;;
Aiklep;Austronesian;;
Aimaq;Indo-European;;
Aimol;Sino-Tibetan;;
Ainbai;Border;;
Ainu;Language isolate;;
Ainu;Turkic;;
Aiome;Ramu-Lower Sepik;;
Airoran;Tor-Kwerba;;
Aisi;Trans-New Guinea;;
Aiton;Kra-Dai;;
Äiwoo;Austronesian;;
Aizi, Aproumu;Niger-Congo;;
Aizi, Mobumrin;Niger-Congo;;
Aizi, Tiagbamrin;Niger-Congo;;
Aja;Niger-Congo;;
Aja;Nilo-Saharan;;
Ajawa;Afro-Asiatic;;
Ajië;Austronesian;;
Ajiri;Niger-Congo;;
Ajiya;Niger-Congo;;
Ajumbu;Niger-Congo;;
Ajyíninka Apurucayali;Maipurean;;
Ak;Sepik;;
Aka;Nilo-Saharan;;
Aka-Bea;Andamanese;;
Aka-Bo;Andamanese;;
Aka-Cari;Andamanese;;
Aka-Jeru;Andamanese;;
Aka-Kede;Andamanese;;
Aka-Kol;Andamanese;;
Aka-Kora;Andamanese;;
Akan;Niger-Congo;;
Akar-Bale;Andamanese;;
Akaselem;Niger-Congo;;
Akateko;Mayan;;
Akawaio;Cariban;;
Akebu;Niger-Congo;;
Akei;Austronesian;;
Akeu;Sino-Tibetan;;
Akha;Sino-Tibetan;;
Akhvakh;Nakh-Daghestanian;;
Aklanon;Austronesian;;
Akolet;Austronesian;;
Akoose;Niger-Congo;;
Akoye;Trans-New Guinea;;
Akpes;Niger-Congo;;
Akukem;Ramu-Lower Sepik;;
Akuku;Niger-Congo;;
Akum;Niger-Congo;;
Akuntsu;Tupian;;
Akurio;Cariban;;
Akwa;Niger-Congo;;
Akweya;Niger-Congo;;
Akye;Niger-Congo;;
Alaba-K’abeena;Afro-Asiatic;;
Alabama;Muskogean;;
Alago;Niger-Congo;;
Alagwa;Afro-Asiatic;;
Alak;Austro-Asiatic;;
Alamblak;Sepik;;
Alangan;Austronesian;;
Alapmunte;Nambikwara;;
Alawa;Australian;;
Albanian, Arbëreshë;Indo-European;;
Albanian, Arvanitika;Indo-European;;
Albanian, Gheg;Indo-European;;
Albanian, Tosk;Indo-European;;
Ale;Afro-Asiatic;;
Alekano;Trans-New Guinea;;
Aleut;Eskimo-Aleut;;
Aleut, Mednyj;Mixed language;;
Algonquin;Algic;;
Ali;Niger-Congo;;
Alladian;Niger-Congo;;
Allar;Dravidian;;
Alngith;Australian;;
Alor;Austronesian;;
Alsea;Unclassified;;
Alta, Northern;Austronesian;;
Alta, Southern;Austronesian;;
Altai, Northern;Turkic;;
Altai, Southern;Turkic;;
Alugu;Sino-Tibetan;;
Alune;Austronesian;;
Aluo;Sino-Tibetan;;
Alur;Nilo-Saharan;;
Alutor;Chukotko-Kamchatkan;;
Alviri-Vidari;Indo-European;;
Alyawarr;Australian;;
Ama;Nilo-Saharan;;
Amahai;Austronesian;;
Amahuaca;Panoan;;
Amaimon;Trans-New Guinea;;
Amako;Trans-New Guinea;;
Amal;Sepik;;
Amalah;Niger-Congo;;
Amam;Trans-New Guinea;;
Amami-Oshima, Northern;Japonic;;
Amami-Oshima, Southern;Japonic;;
Amanab;Border;;
Amanayé;Tupian;;
Amara;Austronesian;;
Amarakaeri;Harákmbut;;
Amarasi;Austronesian;;
Amba;Austronesian;;
Amba;Niger-Congo;;
Ambae, East;Austronesian;;
Ambae, West;Austronesian;;
Ambai;Austronesian;;
Ambakich;Ramu-Lower Sepik;;
Ambel;Austronesian;;
Ambelau;Austronesian;;
Ambele;Niger-Congo;;
Amblong;Austronesian;;
Ambo;Niger-Congo;;
Ambrak;Torricelli;;
Ambrym, North;Austronesian;;
Ambrym, Southeast;Austronesian;;
Ambul;Austronesian;;
Ambulas;Sepik;;
Amdang;Nilo-Saharan;;
Amele;Trans-New Guinea;;
Amharic;Afro-Asiatic;;
Ami;Australian;;
Amio-Gelimi;Austronesian;;
Amis;Austronesian;;
Amo;Niger-Congo;;
Amon;Niger-Congo;;
Ampanang;Austronesian;;
Amri Karbi;Sino-Tibetan;;
Amto;Amto-Musan;;
Amundava;Tupian;;
Amurdak;Australian;;
Amuzgo, Guerrero;Otomanguean;;
Amuzgo, Ipalapa;Otomanguean;;
Amuzgo, San Pedro Amuzgos;Otomanguean;;
Anaang;Niger-Congo;;
Anakalangu;Austronesian;;
Anal;Sino-Tibetan;;
Anam;Trans-New Guinea;;
Anambé;Tupian;;
Anamuxra;Trans-New Guinea;;
Anasi;East Geelvink Bay;;
Áncá;Niger-Congo;;
Andaandi;Nilo-Saharan;;
Andai;Arafundi;;
Andajin;Australian;;
Andaman Hindi Creole;Creole;;
Andaqui;Paezan;;
Andarum;Ramu-Lower Sepik;;
Andegerebinha;Australian;;
Andh;Indo-European;;
Andi;Nakh-Daghestanian;;
Andio;Austronesian;;
Andoa;Zaparoan;;
Andoque;Language isolate;;
Andra-Hus;Austronesian;;
Aneityum;Austronesian;;
Anem;Yele-West New Britain;;
Aneme Wake;Trans-New Guinea;;
Anfillo;Afro-Asiatic;;
Angaataha;Trans-New Guinea;;
Angaité;Mascoyan;;
Angal;Trans-New Guinea;;
Angal Enen;Trans-New Guinea;;
Angal Heneng;Trans-New Guinea;;
Angika;Indo-European;;
Angkamuthi;Australian;;
Angloromani;Mixed language;;
Angolar;Creole;;
Angor;Senagi;;
Angoram;Ramu-Lower Sepik;;
Anguthimri;Australian;;
Anii;Niger-Congo;;
Animere;Niger-Congo;;
Anindilyakwa;Australian;;
Aninka;Niger-Congo;;
Anjam;Trans-New Guinea;;
Ankave;Trans-New Guinea;;
Anmatyerr;Australian;;
Anong;Sino-Tibetan;;
Anor;Ramu-Lower Sepik;;
Anserma;Paezan;;
Ansus;Austronesian;;
Antikarinya;Australian;;
Anuak;Nilo-Saharan;;
Anufo;Niger-Congo;;
Anuki;Austronesian;;
Anus;Austronesian;;
Anuta;Austronesian;;
Anyin;Niger-Congo;;
Anyin Morofo;Niger-Congo;;
Aoheng;Austronesian;;
Aore;Austronesian;;
Ap Ma;Ramu-Lower Sepik;;
Apache, Jicarilla;Eyak-Athabaskan;;
Apache, Kiowa;Eyak-Athabaskan;;
Apache, Lipan;Eyak-Athabaskan;;
Apache, Mescalero-Chiricahua;Eyak-Athabaskan;;
Apache, Western;Eyak-Athabaskan;;
Apal;Trans-New Guinea;;
Apalachee;Muskogean;;
Apalaí;Cariban;;
Apatani;Sino-Tibetan;;
Apiaká;Tupian;;
Apinagé;Jean;;
Apma;Austronesian;;
Apurinã;Maipurean;;
Aputai;Austronesian;;
Arabana;Australian;;
Arabela;Zaparoan;;
Arabic, Algerian;Afro-Asiatic;;
Arabic, Algerian Saharan;Afro-Asiatic;;
Arabic, Baharna;Afro-Asiatic;;
Arabic, Chadian;Afro-Asiatic;;
Arabic, Cypriot;Afro-Asiatic;;
Arabic, Dhofari;Afro-Asiatic;;
Arabic, Eastern Egyptian Bedawi;Afro-Asiatic;;
Arabic, Egyptian;Afro-Asiatic;;
Arabic, Gulf;Afro-Asiatic;;
Arabic, Hadrami;Afro-Asiatic;;
Arabic, Hijazi;Afro-Asiatic;;
Arabic, Juba;Creole;;
Arabic, Judeo-Iraqi;Afro-Asiatic;;
Arabic, Judeo-Moroccan;Afro-Asiatic;;
Arabic, Judeo-Tripolitanian;Afro-Asiatic;;
Arabic, Judeo-Yemeni;Afro-Asiatic;;
Arabic, Levantine;Afro-Asiatic;;
Arabic, Libyan;Afro-Asiatic;;
Arabic, Mesopotamian;Afro-Asiatic;;
Arabic, Moroccan;Afro-Asiatic;;
Arabic, Najdi;Afro-Asiatic;;
Arabic, North Mesopotamian;Afro-Asiatic;;
Arabic, Omani;Afro-Asiatic;;
Arabic, Sa’idi;Afro-Asiatic;;
Arabic, Sanaani;Afro-Asiatic;;
Arabic, Shihhi;Afro-Asiatic;;
Arabic, Standard;Afro-Asiatic;;
Arabic, Sudanese;Afro-Asiatic;;
Arabic, Ta’izzi-Adeni;Afro-Asiatic;;
Arabic, Tajiki;Afro-Asiatic;;
Arabic, Tunisian;Afro-Asiatic;;
Arabic, Uzbeki;Afro-Asiatic;;
Aragonese;Indo-European;;
Arakwal;Australian;;
Aralle-Tabulahan;Austronesian;;
Aramba;South-Central Papuan;;
Aranadan;Dravidian;;
Aranama-Tamique;Unclassified;;
Aranda, Lower Southern;Australian;;
Arandai;Trans-New Guinea;;
Araona;Tacanan;;
Arapaho;Algic;;
Arapaso;Tucanoan;;
Arára, Mato Grosso;Unclassified;;
Arara, Pará;Cariban;;
Ararandewára;Tupian;;
Arawak;Maipurean;;
Araweté;Tupian;;
Arbore;Afro-Asiatic;;
Archi;Nakh-Daghestanian;;
Are;Austronesian;;
Areare;Austronesian;;
Areba;Australian;;
Arem;Austro-Asiatic;;
Argobba;Afro-Asiatic;;
Arguni;Austronesian;;
Arhâ;Austronesian;;
Arhö;Austronesian;;
Arhuaco;Chibchan;;
Ari;Trans-New Guinea;;
Aribwatsa;Austronesian;;
Aribwaung;Austronesian;;
Arigidi;Niger-Congo;;
Arikapú;Jabutian;;
Arikara;Caddoan;;
Arikem;Tupian;;
Arin;Yeniseian;;
Aringa;Nilo-Saharan;;
Armenian;Indo-European;;
Armenian, Western;Indo-European;;
Aro;Torricelli;;
Aromanian;Indo-European;;
Arop-Lokep;Austronesian;;
Arosi;Austronesian;;
Arpitan;Indo-European;;
Arrarnta, Western;Australian;;
Arrernte, Eastern;Australian;;
Arritinngithigh;Australian;;
Arta;Austronesian;;
Aruá;Arauan;;
Aruá;Tupian;;
Aruamu;Ramu-Lower Sepik;;
Aruek;Torricelli;;
Arum;Niger-Congo;;
Aruop;Torricelli;;
Arutani;Language isolate;;
As;Austronesian;;
Asa’a;Trans-New Guinea;;
Asaba;Sepik;;
Asaro’o;Trans-New Guinea;;
Asháninka;Maipurean;;
Ashe;Niger-Congo;;
Ashéninka, Pajonal;Maipurean;;
Ashéninka, Perené;Maipurean;;
Ashéninka, Pichis;Maipurean;;
Ashéninka, South Ucayali;Maipurean;;
Ashéninka, Ucayali-Yurúa;Maipurean;;
Ashkun;Indo-European;;
Ashtiani;Indo-European;;
Asilulu;Austronesian;;
Askopan;North Bougainville;;
Asmat, Casuarina Coast;Trans-New Guinea;;
Asmat, Central;Trans-New Guinea;;
Asmat, North;Trans-New Guinea;;
Asmat, Yaosakor;Trans-New Guinea;;
Asoa;Nilo-Saharan;;
Assamese;Indo-European;;
Assangori;Nilo-Saharan;;
Assiniboine;Siouan-Catawban;;
Assyrian Neo-Aramaic;Afro-Asiatic;;
Asturian;Indo-European;;
Asu;Niger-Congo;;
Asu;Niger-Congo;;
Asumboa;Austronesian;;
Asuri;Austro-Asiatic;;
Asurini of Xingú;Tupian;;
Asurini, Tocantins;Tupian;;
Ata;Austronesian;;
Atakapa;Language isolate;;
